store,item,Prophet_SMAPE,Hybrid_SMAPE,SMAPE_Improvement
1,35,11.709486457388946,10.031135545141089,1.6783509122478577
2,41,16.44583097007421,14.901080983469228,1.5447499866049803
7,33,13.60191070154575,12.132562848317312,1.469347853228438
5,12,11.176277806183869,9.721594710467937,1.4546830957159322
3,32,13.065019419586246,11.646161711217712,1.4188577083685345
8,30,12.168289958859411,10.770759794718217,1.3975301641411946
2,50,10.742270437167925,9.35004429453893,1.392226142628994
10,16,16.775478138916476,15.398666370402736,1.3768117685137398
9,6,10.56491064023017,9.196383167147502,1.3685274730826684
2,9,11.140284916134355,9.787423791147926,1.352861124986429
